rainfall_mm,river_water_level,relative_river_level_m,soil_moisture_percent,slope_angle_degrees,wind_speed_kmh,vegetation_density_ndvi,soil_type_idx,soil_texture_idx,lithology_idx,disaster_occurred
18.0,45.5,0.5,23.3,1.0,28.4,0.66,2,3,3,0
11.1,40.0,-5.0,23.2,53.3,38.6,0.7,2,1,1,0
27.6,41.8,-3.2,33.2,55.7,38.7,0.47,2,1,2,0
34.0,45.5,0.5,39.9,2.6,28.2,0.59,2,3,3,0
18.9,46.1,1.1,24.9,9.1,13.9,0.52,3,3,3,0
139.1,41.8,-3.2,85.3,29.7,32.4,0.29,1,3,2,1
34.9,43.6,-1.4,38.6,4.5,42.6,0.53,2,1,3,0
1.7,43.8,-1.2,28.8,7.6,19.5,0.33,2,2,3,0
31.7,40.5,-4.5,37.5,55.9,28.1,0.51,1,3,2,0
33.4,45.1,0.1,30.9,3.8,41.3,0.45,3,3,3,0
0.3,44.0,-1.0,18.9,37.4,14.2,0.75,2,3,2,0
5.9,41.8,-3.2,28.6,32.4,33.8,0.49,1,2,1,0
165.9,40.1,-4.9,89.0,41.8,6.6,0.13,1,3,2,1
16.2,46.9,1.9,29.2,0.6,40.1,0.67,3,3,3,0
24.1,43.0,-2.0,27.9,58.2,10.7,0.49,1,3,2,0
36.9,45.4,0.4,26.1,6.2,20.1,0.37,3,1,3,0
7.1,46.6,1.6,24.8,0.2,40.1,0.63,3,3,3,0
0.0,46.8,1.8,23.6,0.9,22.3,0.66,2,2,3,0
38.4,44.7,-0.3,41.5,55.6,41.3,0.54,2,3,1,0
34.4,44.1,-0.9,41.3,4.3,21.3,0.49,3,1,3,0
101.2,51.0,6.0,64.2,7.1,17.6,0.53,2,2,3,1
22.6,45.4,0.4,38.9,1.5,20.9,0.4,3,1,3,0
12.7,41.9,-3.1,22.0,44.3,33.2,0.52,2,3,1,0
28.0,43.6,-1.4,25.5,8.5,21.0,0.6,2,2,3,0
18.9,45.4,0.4,19.3,1.6,15.5,0.62,2,2,3,0
26.2,44.1,-0.9,39.8,6.1,7.3,0.67,3,1,3,0
25.5,41.0,-4.0,32.5,40.4,32.0,0.68,1,2,2,0
16.0,45.7,0.7,24.5,6.6,13.0,0.33,2,1,3,0
23.3,44.4,-0.6,35.6,9.2,14.1,0.59,3,1,3,0
27.9,40.9,-4.1,28.0,57.5,9.7,0.6,1,3,2,0
38.5,44.8,-0.2,44.6,55.7,23.4,0.7,2,2,2,0
39.8,45.7,0.7,30.5,4.8,17.6,0.33,3,2,3,0
207.8,51.5,6.5,94.6,7.0,42.3,0.4,3,2,3,1
45.5,44.7,-0.3,32.2,37.4,34.4,0.6,2,2,1,0
31.2,43.5,-1.5,24.0,2.3,43.2,0.63,2,2,3,0
12.6,46.6,1.6,32.7,7.6,28.0,0.64,2,2,3,0
2.7,41.1,-3.9,20.6,31.4,26.6,0.72,2,3,2,0
23.0,44.9,-0.1,19.4,38.8,13.4,0.68,1,3,2,0
10.8,46.8,1.8,21.2,3.3,12.4,0.37,3,2,3,0
18.0,45.3,0.3,36.8,4.2,32.4,0.45,3,1,3,0
36.9,41.0,-4.0,25.0,53.1,21.9,0.59,2,1,2,0
19.9,42.8,-2.2,19.2,52.5,37.6,0.68,2,2,2,0
22.3,46.2,1.2,25.8,4.5,21.5,0.4,3,2,3,0
13.0,45.0,0.0,30.7,5.8,22.9,0.69,2,1,3,0
46.4,44.3,-0.7,40.8,46.5,21.2,0.57,2,1,1,0
28.4,45.4,0.4,29.3,1.6,40.5,0.43,2,2,3,0
12.6,40.6,-4.4,30.0,39.5,13.4,0.7,1,2,1,0
163.5,51.3,6.3,77.1,1.0,15.5,0.52,3,1,3,1
11.4,45.5,0.5,17.2,6.5,38.5,0.42,3,1,3,0
34.8,46.7,1.7,34.9,6.6,10.4,0.65,3,3,3,0
22.6,45.1,0.1,31.8,5.9,17.4,0.55,3,2,3,0
7.8,41.5,-3.5,23.6,43.9,35.3,0.4,1,1,2,0
0.5,44.7,-0.3,16.1,35.0,14.2,0.57,1,1,2,0
32.3,41.2,-3.8,27.3,31.6,8.2,0.73,2,3,2,0
32.4,44.7,-0.3,40.0,5.2,12.3,0.41,3,2,3,0
7.5,43.1,-1.9,14.0,6.4,26.4,0.41,3,1,3,0
9.3,43.6,-1.4,23.6,2.8,18.7,0.59,2,2,3,0
47.6,41.7,-3.3,44.6,59.9,7.9,0.42,2,2,1,0
4.9,46.1,1.1,16.9,1.9,35.8,0.63,3,2,3,0
3.8,45.7,0.7,15.7,7.4,20.6,0.38,2,2,3,0
9.9,41.3,-3.7,31.2,30.6,13.7,0.76,1,1,1,0
23.4,44.6,-0.4,24.2,6.3,43.8,0.31,3,3,3,0
25.0,43.9,-1.1,26.8,49.1,43.8,0.67,1,3,2,0
5.0,43.9,-1.1,31.6,0.6,36.5,0.58,2,2,3,0
191.9,41.8,-3.2,95.5,50.7,16.8,0.2,1,3,2,1
43.4,41.6,-3.4,44.6,31.6,11.4,0.64,1,3,2,0
31.0,45.0,0.0,37.1,4.5,40.3,0.52,3,3,3,0
26.9,43.6,-1.4,31.2,52.2,24.9,0.55,1,3,2,0
3.9,45.6,0.6,12.4,6.1,42.5,0.46,3,1,3,0
202.7,50.2,5.2,100.0,2.0,30.0,0.38,3,3,3,1
32.8,40.1,-4.9,39.8,26.7,23.7,0.77,1,3,1,0
2.3,45.5,0.5,21.5,3.6,34.4,0.63,3,2,3,0
15.4,43.8,-1.2,29.3,9.4,27.8,0.34,2,1,3,0
5.2,43.5,-1.5,23.1,51.1,25.2,0.72,2,3,2,0
22.0,47.0,2.0,35.7,5.3,21.5,0.67,3,3,3,0
38.3,42.8,-2.2,30.4,53.9,43.5,0.77,2,2,1,0
49.7,43.0,-2.0,35.9,25.0,13.9,0.52,1,2,2,0
22.8,45.3,0.3,21.0,7.7,23.4,0.67,3,1,3,0
3.7,44.6,-0.4,29.8,2.6,34.4,0.39,2,3,3,0
28.8,44.1,-0.9,33.4,52.8,17.0,0.76,1,3,2,0
20.8,41.7,-3.3,35.7,27.7,14.1,0.75,1,3,2,0
12.8,45.3,0.3,21.7,6.3,32.9,0.32,3,1,3,0
23.0,43.4,-1.6,27.8,6.7,36.5,0.69,3,1,3,0
163.9,49.3,4.3,85.6,3.4,36.0,0.53,3,1,3,1
7.8,45.5,0.5,27.8,4.8,14.8,0.5,2,1,3,0
18.3,40.6,-4.4,24.2,52.2,31.2,0.48,2,2,1,0
37.0,43.9,-1.1,38.5,9.9,11.2,0.55,3,3,3,0
5.9,46.3,1.3,18.1,1.1,18.7,0.4,2,1,3,0
10.2,41.0,-4.0,19.3,40.8,24.3,0.61,1,3,2,0
21.1,44.0,-1.0,19.6,7.0,13.0,0.45,2,3,3,0
42.6,41.9,-3.1,44.3,26.9,5.8,0.66,1,3,1,0
29.9,44.5,-0.5,25.9,33.1,43.7,0.44,2,3,1,0
6.3,44.4,-0.6,19.6,0.4,30.0,0.43,3,1,3,0
1.5,44.5,-0.5,16.2,53.4,11.1,0.62,2,2,2,0
34.9,45.7,0.7,32.3,0.9,27.9,0.51,3,2,3,0
6.9,42.7,-2.3,28.8,56.8,39.5,0.62,2,2,2,0
6.3,43.3,-1.7,23.2,4.3,33.8,0.56,2,1,3,0
20.7,43.8,-1.2,27.1,54.4,42.4,0.56,1,3,1,0
198.9,40.7,-4.3,100.0,30.3,29.5,0.22,1,3,1,1
19.1,45.0,0.0,29.7,2.3,33.5,0.44,2,2,3,0
9.1,44.6,-0.4,33.0,8.5,42.0,0.49,3,2,3,0
248.3,52.0,7.0,100.0,7.4,24.6,0.6,2,2,3,1
41.2,43.9,-1.1,34.4,56.1,42.6,0.69,2,3,2,0
35.1,44.0,-1.0,34.8,5.2,44.4,0.48,3,1,3,0
15.2,41.5,-3.5,25.3,43.1,21.9,0.73,1,3,1,0
3.6,45.0,0.0,15.0,6.9,28.4,0.49,2,3,3,0
23.6,45.9,0.9,23.5,3.9,23.2,0.48,3,2,3,0
31.7,40.5,-4.5,36.8,49.2,34.1,0.43,1,3,1,0
13.4,46.5,1.5,32.6,3.8,11.5,0.32,3,1,3,0
30.7,44.8,-0.2,34.8,7.7,9.7,0.47,2,1,3,0
19.9,46.2,1.2,30.1,0.0,24.7,0.3,3,1,3,0
190.6,43.0,-2.0,98.8,40.9,37.8,0.16,2,1,1,1
236.6,51.0,6.0,100.0,1.8,16.9,0.56,2,1,3,1
26.4,45.8,0.8,32.0,1.1,27.5,0.36,2,2,3,0
41.0,41.6,-3.4,43.3,57.6,7.6,0.7,1,2,2,0
8.4,43.8,-1.2,14.5,1.2,27.9,0.43,3,3,3,0
10.4,45.3,0.3,26.6,4.8,42.1,0.47,3,3,3,0
11.6,44.0,-1.0,18.5,43.2,9.7,0.52,2,2,2,0
16.6,44.3,-0.7,27.8,7.4,30.5,0.62,2,1,3,0
20.3,44.3,-0.7,18.2,6.9,32.4,0.62,3,2,3,0
46.1,41.0,-4.0,37.9,50.4,6.4,0.59,1,1,1,0
46.4,42.3,-2.7,39.0,30.4,27.6,0.42,2,3,2,0
45.8,42.9,-2.1,29.6,44.4,11.0,0.72,1,1,1,0
182.6,40.9,-4.1,100.0,59.4,33.4,0.16,1,2,2,1
10.8,42.3,-2.7,16.6,28.0,36.4,0.52,1,1,2,0
6.2,44.4,-0.6,22.1,4.4,40.0,0.62,2,2,3,0
151.0,41.0,-4.0,72.7,30.0,17.4,0.27,1,1,1,1
29.8,43.1,-1.9,37.1,3.3,30.6,0.34,2,1,3,0
33.6,42.7,-2.3,26.6,32.0,9.6,0.51,2,3,2,0
37.7,46.2,1.2,36.6,2.1,11.9,0.52,3,2,3,0
2.5,40.1,-4.9,12.7,43.9,20.7,0.55,1,3,1,0
33.5,44.1,-0.9,42.9,46.6,35.2,0.61,2,2,2,0
25.8,46.1,1.1,29.7,0.9,42.9,0.34,3,1,3,0
39.4,43.5,-1.5,34.8,57.0,6.2,0.75,2,2,1,0
13.9,45.3,0.3,25.7,3.5,21.2,0.64,3,3,3,0
16.0,44.7,-0.3,28.8,3.3,26.9,0.62,2,2,3,0
39.4,43.9,-1.1,30.5,27.3,31.5,0.62,1,1,2,0
8.8,42.8,-2.2,14.9,29.0,9.3,0.78,2,3,2,0
166.5,41.1,-3.9,92.8,36.5,35.3,0.25,1,3,1,1
7.8,45.7,0.7,19.5,4.5,27.8,0.46,3,3,3,0
30.6,45.0,0.0,39.2,57.1,39.1,0.6,2,1,2,0
18.0,43.5,-1.5,34.5,56.5,14.4,0.74,1,3,1,0
33.1,41.9,-3.1,27.0,46.9,20.4,0.59,2,2,2,0
7.2,40.1,-4.9,26.0,30.4,44.0,0.75,1,1,1,0
27.8,46.7,1.7,33.6,1.4,23.2,0.64,3,2,3,0
159.9,42.1,-2.9,88.2,38.5,15.8,0.25,1,3,1,1
158.5,43.5,-1.5,76.2,26.2,34.3,0.24,1,2,2,1
48.0,42.4,-2.6,41.9,43.1,36.9,0.43,1,2,1,0
18.8,45.9,0.9,25.9,9.0,43.4,0.49,2,2,3,0
8.5,40.3,-4.7,33.2,30.9,37.4,0.42,2,3,2,0
225.4,49.8,4.8,100.0,2.9,16.0,0.35,2,2,3,1
26.4,44.5,-0.5,24.1,7.4,36.3,0.66,2,1,3,0
29.8,44.9,-0.1,38.7,31.3,35.1,0.73,1,2,2,0
17.3,41.1,-3.9,32.0,33.3,9.6,0.66,2,1,1,0
26.6,43.7,-1.3,34.8,39.0,24.0,0.55,2,1,2,0
34.1,43.4,-1.6,42.0,25.4,30.5,0.42,2,2,2,0
23.1,41.3,-3.7,24.1,36.7,31.9,0.67,2,1,1,0
41.6,42.7,-2.3,28.6,48.7,9.2,0.4,1,2,2,0
127.4,41.0,-4.0,74.1,32.7,38.4,0.29,2,3,2,1
15.0,46.1,1.1,29.0,7.1,37.1,0.33,2,1,3,0
3.0,44.8,-0.2,31.1,7.0,35.8,0.42,3,3,3,0
16.6,43.9,-1.1,35.8,34.0,15.6,0.42,1,2,2,0
19.7,43.6,-1.4,33.3,4.9,13.7,0.54,2,3,3,0
191.4,49.8,4.8,95.5,9.1,40.9,0.34,3,1,3,1
36.2,45.3,0.3,34.8,9.3,42.6,0.41,3,2,3,0
40.9,40.0,-5.0,37.7,40.3,42.4,0.59,1,2,1,0
4.5,43.2,-1.8,31.0,48.9,8.2,0.61,2,2,1,0
14.9,44.8,-0.2,18.1,47.7,32.6,0.56,1,2,1,0
130.9,51.2,6.2,74.2,8.9,24.6,0.59,3,1,3,1
183.0,40.2,-4.8,85.6,42.5,37.3,0.11,2,3,1,1
131.3,44.6,-0.4,71.9,57.9,41.7,0.23,1,1,1,1
36.2,46.3,1.3,26.4,7.0,29.4,0.31,2,3,3,0
24.6,43.3,-1.7,23.9,8.2,18.5,0.35,2,3,3,0
38.2,44.2,-0.8,32.0,36.3,9.8,0.64,1,1,2,0
2.0,42.2,-2.8,27.7,30.9,29.5,0.44,2,1,1,0
3.6,45.6,0.6,29.2,8.8,21.6,0.3,2,2,3,0
37.5,45.4,0.4,25.8,2.1,12.2,0.51,3,2,3,0
137.7,49.4,4.4,75.7,6.3,8.8,0.44,3,2,3,1
31.9,45.7,0.7,42.1,4.6,24.0,0.41,2,1,3,0
8.4,44.0,-1.0,25.7,6.7,40.6,0.32,2,2,3,0
31.4,44.9,-0.1,24.9,1.0,40.8,0.67,2,3,3,0
16.3,41.0,-4.0,23.0,45.7,8.9,0.71,2,3,2,0
2.7,40.4,-4.6,15.4,55.4,29.4,0.57,2,1,1,0
10.1,43.2,-1.8,27.9,38.1,7.4,0.45,2,1,1,0
8.8,44.2,-0.8,16.7,8.5,36.8,0.47,3,3,3,0
19.6,47.0,2.0,29.7,5.8,38.5,0.33,2,2,3,0
8.9,46.7,1.7,32.5,7.3,41.6,0.4,2,1,3,0
21.3,43.7,-1.3,34.7,59.3,32.9,0.56,1,1,2,0
10.9,43.5,-1.5,19.1,42.3,45.0,0.54,1,1,1,0
1.2,44.3,-0.7,25.9,48.4,40.0,0.58,1,2,2,0
0.1,45.5,0.5,17.7,7.9,32.6,0.55,3,3,3,0
23.0,43.8,-1.2,32.9,3.0,29.8,0.58,3,2,3,0
158.5,50.9,5.9,80.7,5.1,12.0,0.66,3,3,3,1
21.6,45.6,0.6,33.4,5.6,35.1,0.36,2,3,3,0
20.1,44.7,-0.3,19.1,7.5,19.9,0.43,2,2,3,0
26.6,43.5,-1.5,33.1,42.6,37.0,0.52,1,3,2,0
7.2,46.8,1.8,14.4,1.9,11.6,0.33,3,1,3,0
11.7,46.9,1.9,25.5,5.0,10.3,0.51,2,2,3,0
184.2,40.9,-4.1,94.1,40.5,18.4,0.27,1,3,2,1
42.1,43.0,-2.0,32.9,48.0,10.3,0.58,2,2,2,0
30.8,43.2,-1.8,29.4,7.9,23.2,0.49,2,1,3,0
28.3,46.6,1.6,37.2,7.1,11.5,0.37,3,1,3,0
8.2,45.8,0.8,26.6,9.9,44.1,0.48,2,1,3,0
194.5,40.6,-4.4,100.0,40.7,42.1,0.25,1,1,2,1
35.8,46.9,1.9,39.4,9.7,44.8,0.56,3,3,3,0
176.6,49.1,4.1,94.2,8.0,9.7,0.44,3,1,3,1
30.4,41.8,-3.2,32.7,46.6,36.3,0.48,1,2,2,0
39.0,44.6,-0.4,35.4,0.2,29.1,0.57,3,3,3,0
17.1,44.5,-0.5,17.1,9.1,18.8,0.46,3,2,3,0
49.6,43.6,-1.4,35.6,55.6,37.2,0.72,1,2,1,0
43.4,41.0,-4.0,28.7,29.9,43.4,0.79,1,2,1,0
28.4,46.0,1.0,24.1,0.1,12.4,0.47,3,2,3,0
28.0,44.2,-0.8,21.7,44.4,5.1,0.59,1,2,2,0
20.9,43.3,-1.7,32.1,58.5,14.8,0.6,2,1,1,0
43.4,42.9,-2.1,36.9,42.3,32.8,0.65,1,1,2,0
145.6,40.8,-4.2,70.9,42.9,11.5,0.28,1,2,2,1
46.8,41.4,-3.6,44.0,39.7,12.3,0.61,2,1,1,0
12.0,45.7,0.7,28.6,5.4,8.8,0.63,3,3,3,0
24.2,42.6,-2.4,37.9,53.8,9.1,0.54,1,1,1,0
4.7,43.5,-1.5,12.2,8.3,18.9,0.47,2,3,3,0
37.2,40.9,-4.1,27.5,29.9,32.8,0.45,2,3,2,0
210.5,51.4,6.4,95.8,3.1,36.0,0.35,2,2,3,1
2.4,43.5,-1.5,16.0,2.0,7.6,0.62,2,3,3,0
36.0,43.7,-1.3,31.4,7.5,8.6,0.67,2,3,3,0
36.4,40.8,-4.2,36.0,58.2,9.0,0.5,2,3,2,0
30.2,43.0,-2.0,36.6,5.3,42.0,0.69,2,3,3,0
186.8,43.4,-1.6,93.2,37.8,25.6,0.3,1,2,2,1
121.7,51.3,6.3,72.8,7.6,27.3,0.35,3,1,3,1
29.4,45.7,0.7,38.6,3.3,14.0,0.45,2,2,3,0
40.1,44.3,-0.7,33.4,59.5,5.5,0.78,2,3,1,0
6.0,42.6,-2.4,26.3,48.5,44.1,0.56,2,3,2,0
39.6,43.5,-1.5,42.6,0.6,34.0,0.44,2,2,3,0
20.2,42.4,-2.6,23.7,51.5,35.7,0.59,2,1,2,0
1.2,46.0,1.0,27.1,2.5,24.9,0.39,3,1,3,0
3.9,43.3,-1.7,26.6,3.8,35.7,0.36,3,2,3,0
13.7,46.4,1.4,26.4,2.9,43.1,0.5,3,1,3,0
22.1,42.3,-2.7,22.4,55.8,31.4,0.41,1,2,2,0
30.6,45.3,0.3,32.1,4.9,27.2,0.42,2,3,3,0
48.5,42.0,-3.0,36.5,41.7,44.1,0.65,1,2,1,0
32.4,45.3,0.3,38.3,0.3,30.0,0.35,2,2,3,0
139.1,49.7,4.7,71.9,4.3,8.4,0.46,3,3,3,1
152.2,50.4,5.4,88.1,8.7,27.7,0.44,2,2,3,1
19.5,44.9,-0.1,34.0,25.7,9.0,0.63,2,3,1,0
38.8,43.8,-1.2,38.2,3.4,44.0,0.37,3,1,3,0
32.2,45.5,0.5,42.0,2.9,33.7,0.42,2,3,3,0
19.0,43.8,-1.2,33.5,5.9,31.1,0.33,3,2,3,0
25.8,42.1,-2.9,31.3,40.2,40.2,0.67,2,3,1,0
37.5,44.1,-0.9,37.8,5.8,37.4,0.56,2,2,3,0
29.9,46.1,1.1,38.8,5.2,21.4,0.48,3,1,3,0
10.3,45.4,0.4,22.2,8.5,9.5,0.63,3,1,3,0
17.4,45.6,0.6,17.7,2.5,11.4,0.49,3,1,3,0
34.1,46.9,1.9,33.4,2.6,5.8,0.56,3,1,3,0
44.3,44.5,-0.5,44.5,46.1,38.7,0.56,1,1,2,0
38.0,46.7,1.7,30.2,5.7,40.4,0.51,2,1,3,0
15.6,46.0,1.0,21.0,7.7,21.9,0.43,3,1,3,0
23.6,45.0,0.0,26.9,1.8,42.9,0.48,3,2,3,0
18.1,44.4,-0.6,33.7,41.6,5.8,0.69,1,3,2,0
9.6,45.2,0.2,20.0,8.4,43.3,0.58,2,2,3,0
36.4,44.6,-0.4,44.1,5.3,15.2,0.64,2,1,3,0
35.2,46.1,1.1,32.2,3.0,6.4,0.67,2,1,3,0
41.0,43.6,-1.4,40.4,41.5,25.3,0.73,2,2,2,0
32.1,43.5,-1.5,31.7,46.1,30.6,0.47,2,1,2,0
140.0,42.9,-2.1,81.4,32.0,31.0,0.24,2,1,2,1
13.0,42.4,-2.6,31.7,52.7,37.0,0.67,2,1,2,0
33.4,45.3,0.3,23.8,4.1,5.9,0.46,2,3,3,0
6.8,44.6,-0.4,21.3,9.1,15.4,0.38,3,1,3,0
46.0,43.6,-1.4,41.9,31.0,9.7,0.58,1,3,1,0
5.2,46.4,1.4,24.1,1.9,44.8,0.42,3,2,3,0
256.2,49.7,4.7,100.0,4.2,14.9,0.62,3,3,3,1
19.9,44.4,-0.6,25.6,28.0,21.9,0.48,2,3,1,0
45.4,41.7,-3.3,46.9,27.6,43.7,0.8,1,3,1,0
14.8,46.9,1.9,27.1,0.1,28.2,0.42,3,2,3,0
150.8,50.6,5.6,73.2,5.0,9.7,0.65,3,1,3,1
11.3,46.5,1.5,26.8,5.0,35.5,0.6,3,2,3,0
47.5,43.7,-1.3,47.5,40.3,30.5,0.62,1,2,2,0
141.6,51.1,6.1,75.4,1.9,44.8,0.39,2,2,3,1
215.2,49.4,4.4,100.0,4.4,13.1,0.48,3,2,3,1
8.5,47.0,2.0,13.5,8.3,35.7,0.53,3,1,3,0
1.3,43.4,-1.6,24.1,57.2,20.8,0.67,1,3,2,0
28.3,44.9,-0.1,33.9,8.4,15.8,0.31,2,3,3,0
13.0,45.9,0.9,29.9,3.3,43.3,0.56,2,3,3,0
31.9,46.0,1.0,33.7,2.1,29.1,0.62,2,1,3,0
8.1,40.4,-4.6,18.9,33.9,35.1,0.71,1,3,2,0
36.9,46.6,1.6,36.8,1.2,19.4,0.62,3,1,3,0
28.2,44.4,-0.6,36.4,42.9,37.4,0.57,2,3,2,0
38.9,45.7,0.7,38.5,4.3,33.5,0.34,3,2,3,0
12.0,46.9,1.9,28.5,2.9,17.0,0.33,3,1,3,0
25.5,44.6,-0.4,29.5,35.3,33.8,0.57,1,2,1,0
9.0,40.6,-4.4,21.5,33.9,8.3,0.47,1,3,1,0
48.3,43.1,-1.9,33.1,36.0,12.4,0.75,2,3,2,0
129.3,42.7,-2.3,71.3,55.5,32.7,0.13,1,3,2,1
130.8,44.0,-1.0,78.6,35.6,32.8,0.14,2,1,2,1
25.0,46.2,1.2,23.8,2.1,17.0,0.56,2,2,3,0
29.6,44.8,-0.2,31.5,4.7,5.8,0.35,2,2,3,0
200.9,51.1,6.1,100.0,2.0,38.9,0.32,3,3,3,1
46.8,42.6,-2.4,46.1,26.3,14.3,0.76,2,1,2,0
25.9,46.6,1.6,22.7,4.2,29.9,0.52,3,3,3,0
23.5,40.8,-4.2,29.6,40.7,28.5,0.58,2,3,1,0
19.5,44.4,-0.6,36.6,57.3,31.1,0.57,2,2,1,0
33.4,41.4,-3.6,27.3,53.0,29.2,0.45,1,1,1,0
50.0,41.2,-3.8,35.2,58.0,32.1,0.54,2,1,2,0
4.8,43.9,-1.1,17.1,8.1,18.6,0.47,3,2,3,0
34.9,45.4,0.4,26.0,7.7,7.0,0.66,3,2,3,0
42.9,43.9,-1.1,38.4,58.7,25.3,0.44,1,1,1,0
17.7,45.0,0.0,31.7,8.7,9.0,0.36,3,3,3,0
20.8,44.2,-0.8,23.2,36.7,37.4,0.71,1,2,1,0
18.0,41.9,-3.1,20.2,42.7,35.1,0.67,1,2,2,0
18.4,46.4,1.4,33.3,1.4,19.5,0.47,3,1,3,0
49.1,40.4,-4.6,30.9,30.1,35.4,0.47,1,3,1,0
32.0,46.5,1.5,42.3,9.0,21.8,0.69,2,3,3,0
26.4,40.0,-5.0,34.6,50.3,22.8,0.77,2,1,2,0
163.0,44.4,-0.6,89.6,49.4,40.2,0.18,2,3,1,1
1.4,43.8,-1.2,22.4,32.5,14.7,0.72,2,2,2,0
25.4,44.2,-0.8,35.3,59.5,42.7,0.45,1,2,1,0
37.3,41.7,-3.3,39.2,45.0,42.5,0.63,1,3,2,0
22.9,43.6,-1.4,26.7,3.5,34.5,0.57,3,1,3,0
154.1,42.3,-2.7,73.5,43.1,22.0,0.18,1,1,2,1
27.9,43.4,-1.6,38.6,32.5,28.4,0.71,1,3,2,0
130.2,44.1,-0.9,64.7,59.9,33.2,0.24,2,3,2,1
37.8,44.5,-0.5,44.2,6.9,29.1,0.49,3,2,3,0
14.9,47.0,2.0,22.0,1.2,24.4,0.32,3,1,3,0
35.6,43.9,-1.1,40.6,7.8,24.6,0.32,3,1,3,0
22.6,42.4,-2.6,26.6,27.4,38.4,0.54,1,3,2,0
6.0,45.9,0.9,14.2,7.6,30.0,0.6,3,3,3,0
44.5,42.7,-2.3,40.7,38.6,39.6,0.69,2,3,2,0
189.5,49.6,4.6,98.2,5.7,28.1,0.52,3,1,3,1
7.2,43.1,-1.9,28.6,7.5,14.8,0.35,2,3,3,0
46.7,42.9,-2.1,32.3,28.0,6.0,0.54,2,3,2,0
14.3,44.9,-0.1,31.1,38.4,11.2,0.47,1,2,1,0
11.9,43.4,-1.6,17.6,0.6,40.7,0.37,3,2,3,0
29.3,41.0,-4.0,36.8,58.0,20.4,0.6,1,1,1,0
170.7,40.3,-4.7,78.7,27.1,27.2,0.28,2,3,2,1
3.4,45.5,0.5,15.4,2.5,43.7,0.42,2,2,3,0
1.7,46.3,1.3,29.9,7.8,29.8,0.68,3,3,3,0
27.2,47.0,2.0,37.7,0.0,13.5,0.41,3,3,3,0
41.5,40.4,-4.6,46.6,26.6,40.1,0.69,1,1,2,0
13.7,44.9,-0.1,21.9,55.9,13.4,0.66,2,3,2,0
120.8,43.0,-2.0,69.4,25.6,32.9,0.13,1,2,1,1
22.3,44.5,-0.5,38.4,43.8,20.1,0.45,1,3,1,0
22.2,42.3,-2.7,19.3,38.5,16.2,0.49,1,3,1,0
18.1,41.2,-3.8,35.3,31.7,33.3,0.51,2,1,1,0
20.0,43.7,-1.3,21.9,2.0,34.6,0.34,3,3,3,0
249.4,51.6,6.6,100.0,0.7,34.2,0.6,2,2,3,1
21.3,44.0,-1.0,29.7,8.5,23.2,0.7,2,2,3,0
11.0,45.7,0.7,23.7,8.5,19.5,0.47,3,1,3,0
15.7,44.3,-0.7,33.9,0.5,37.3,0.51,3,3,3,0
7.9,44.3,-0.7,14.4,9.8,30.0,0.68,3,1,3,0
23.7,44.2,-0.8,36.1,40.1,37.9,0.78,1,3,2,0
23.2,43.3,-1.7,20.5,9.4,6.3,0.61,3,2,3,0
12.1,45.5,0.5,16.2,7.8,32.1,0.67,2,3,3,0
16.4,46.5,1.5,32.3,2.9,30.0,0.46,3,2,3,0
39.1,41.7,-3.3,32.2,41.2,12.7,0.58,2,1,1,0
36.2,43.5,-1.5,34.7,6.0,19.2,0.54,2,2,3,0
21.8,40.3,-4.7,33.8,31.5,17.4,0.78,1,3,1,0
38.8,45.1,0.1,38.7,1.5,10.8,0.54,3,1,3,0
8.1,43.3,-1.7,17.0,4.2,24.0,0.69,2,3,3,0
8.1,43.1,-1.9,29.0,46.0,6.7,0.58,2,1,2,0
19.2,46.1,1.1,34.0,6.4,37.3,0.49,2,2,3,0
104.8,49.3,4.3,57.7,4.0,12.8,0.45,2,3,3,1
44.3,41.0,-4.0,34.5,26.5,27.2,0.69,1,1,1,0
208.4,50.1,5.1,100.0,0.2,9.4,0.66,3,1,3,1
48.9,43.3,-1.7,47.2,41.0,40.1,0.8,2,1,2,0
15.1,44.5,-0.5,28.0,1.4,44.1,0.62,2,1,3,0
5.9,44.0,-1.0,24.9,7.6,16.2,0.64,2,1,3,0
8.4,44.0,-1.0,31.0,32.3,35.0,0.56,1,2,2,0
24.2,43.6,-1.4,29.2,43.2,28.2,0.78,1,3,2,0
8.7,44.7,-0.3,21.0,2.1,11.3,0.48,2,2,3,0
11.5,41.5,-3.5,24.8,44.3,18.5,0.42,1,2,1,0
9.0,41.6,-3.4,26.5,40.1,19.4,0.49,2,1,2,0
125.7,44.6,-0.4,64.3,54.5,12.9,0.11,1,2,2,1
49.9,43.5,-1.5,44.8,35.6,41.5,0.7,2,1,1,0
37.9,44.7,-0.3,38.2,34.9,44.6,0.4,2,1,2,0
27.6,41.2,-3.8,37.3,33.0,18.6,0.59,1,1,2,0
27.9,41.0,-4.0,32.7,54.6,10.1,0.55,2,3,2,0
27.4,44.6,-0.4,36.5,5.0,26.5,0.44,3,2,3,0
38.1,44.3,-0.7,37.8,5.7,29.1,0.67,2,3,3,0
23.7,40.3,-4.7,38.7,59.3,30.6,0.53,1,2,2,0
19.5,43.7,-1.3,19.2,1.7,43.5,0.31,2,2,3,0
0.4,44.3,-0.7,28.4,2.3,20.6,0.48,2,1,3,0
